Backend_Time,ESP_Time,experimentName,comment,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-07 08:55:18,06:55:17,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.93,4.38,0.0,-1.0
2024-06-07 08:55:18,06:55:18,None,,,0,0,0,0,0,0,0,23.84,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:18,06:55:18,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:55:18,06:55:18,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.54,4.38,0.0,0.0
2024-06-07 08:55:19,06:55:18,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.08,4.38,0.0,-1.0
2024-06-07 08:55:19,06:55:18,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:19,06:55:19,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.13,4.38,50.0,-1.0
2024-06-07 08:55:19,06:55:19,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.46,4.38,0.0,-1.0
2024-06-07 08:55:19,06:55:19,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.12,4.38,0.0,0.0
2024-06-07 08:55:20,06:55:19,None,,,0,0,0,0,0,0,0,23.74,-1000.0,10.97,4.38,0.0,-1.0
2024-06-07 08:55:20,06:55:20,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.85,4.39,50.0,-1.0
2024-06-07 08:55:20,06:55:20,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.79,4.38,0.0,-1.0
2024-06-07 08:55:20,06:55:20,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.99,4.38,0.0,-1.0
2024-06-07 08:55:20,06:55:20,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.18,4.38,0.0,0.0
2024-06-07 08:55:21,06:55:20,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.43,4.38,0.0,-1.0
2024-06-07 08:55:21,06:55:21,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.21,4.38,0.0,-1.0
2024-06-07 08:55:21,06:55:21,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:21,06:55:21,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.08,4.37,0.0,-1.0
2024-06-07 08:55:21,06:55:21,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.57,4.38,0.0,0.0
2024-06-07 08:55:22,06:55:21,None,,,0,0,0,0,0,0,0,23.84,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:57:45,06:57:44,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.19,4.38,0.0,-1.0
2024-06-07 08:58:09,06:58:09,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.71,4.38,0.0,0.0
2024-06-07 08:59:07,06:59:07,None,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07 08:59:57,06:59:56,None,,,0,0,0,0,0,0,0,23.74,-1000.0,10.97,4.38,0.0,-1.0
2024-06-07 09:00:21,07:00:21,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.07,4.38,0.0,-1.0
